finding_id,provider,resource_id,region,control_domain,framework,severity,compliance_status,owner,age_days,remediation_status,mfa_enabled,public_exposure,encryption_enabled,severity_rank,is_noncompliant,is_high_risk,is_open_risk,risk_score
FND-0373,Azure,Azure-RES-0373,East US,Configuration,NIST,Medium,Compliant,Security,164,Not Required,,,,2,0,0,0,3.82
FND-0374,Azure,Azure-RES-0374,East US,Data Protection,NIST,Low,Compliant,Security,161,Not Required,,,1.0,1,0,0,0,2.79
FND-0375,Azure,Azure-RES-0375,UK South,Configuration,ISO 27001,Low,Compliant,Platform,43,Not Required,,,,1,0,0,0,1.48
FND-0376,AWS,AWS-RES-0376,us-east-1,Configuration,CIS,High,Non-Compliant,Platform,79,Open,,,,3,1,1,1,6.88
FND-0377,Azure,Azure-RES-0377,East US,Logging & Monitoring,NIST,High,Non-Compliant,Security,99,Accepted Risk,,,,3,1,1,0,7.1
FND-0378,AWS,AWS-RES-0378,eu-west-2,Identity & Access,ISO 27001,Medium,Compliant,Security,246,Not Required,1.0,,,2,0,0,0,4.73
FND-0379,AWS,AWS-RES-0379,us-east-1,Logging & Monitoring,CIS,Medium,Non-Compliant,Network,56,Open,,,,2,1,0,1,4.62
FND-0380,AWS,AWS-RES-0380,eu-west-2,Identity & Access,ISO 27001,Low,Non-Compliant,IAM,300,Open,1.0,,,1,1,0,1,5.0
FND-0381,AWS,AWS-RES-0381,eu-west-2,Configuration,ISO 27001,High,Compliant,Security,15,Not Required,,,,3,0,1,0,3.17
FND-0382,AWS,AWS-RES-0382,eu-west-2,Configuration,NIST,Medium,Compliant,Security,226,Not Required,,,,2,0,0,0,4.51
FND-0383,AWS,AWS-RES-0383,eu-west-1,Configuration,ISO 27001,Medium,Compliant,Network,65,Not Required,,,,2,0,0,0,2.72
FND-0384,Azure,Azure-RES-0384,UK South,Logging & Monitoring,NIST,Medium,Compliant,Network,36,Not Required,,,,2,0,0,0,2.4
FND-0385,Azure,Azure-RES-0385,UK South,Logging & Monitoring,NIST,High,Compliant,Security,167,Not Required,,,,3,0,1,0,4.86
FND-0386,AWS,AWS-RES-0386,eu-west-2,Identity & Access,NIST,Medium,Compliant,IAM,136,Not Required,1.0,,,2,0,0,0,3.51
FND-0387,AWS,AWS-RES-0387,eu-west-1,Data Protection,NIST,Low,Compliant,Platform,350,Not Required,,,1.0,1,0,0,0,4.0
FND-0388,Azure,Azure-RES-0388,West Europe,Logging & Monitoring,CIS,Low,Compliant,Security,219,Not Required,,,,1,0,0,0,3.43
FND-0389,AWS,AWS-RES-0389,eu-west-2,Data Protection,CIS,Low,Non-Compliant,Network,229,Open,,,1.0,1,1,0,1,4.54
FND-0390,AWS,AWS-RES-0390,us-east-1,Configuration,NIST,Low,Compliant,Security,75,Not Required,,,,1,0,0,0,1.83
FND-0391,AWS,AWS-RES-0391,us-east-1,Network Security,ISO 27001,Medium,Compliant,Cloud Ops,342,Not Required,,0.0,,2,0,0,0,5.0
FND-0392,Azure,Azure-RES-0392,UK South,Backup & Recovery,NIST,Medium,Exception,Cloud Ops,74,In Progress,,,,2,0,0,1,2.82
FND-0393,Azure,Azure-RES-0393,UK South,Network Security,ISO 27001,Critical,Non-Compliant,Security,231,In Progress,,0.0,,4,1,1,1,10.57
FND-0394,AWS,AWS-RES-0394,eu-west-2,Data Protection,ISO 27001,Medium,Compliant,Cloud Ops,307,Not Required,,,1.0,2,0,0,0,5.0
FND-0395,AWS,AWS-RES-0395,eu-west-1,Logging & Monitoring,CIS,High,Compliant,IAM,269,Not Required,,,,3,0,1,0,5.99
FND-0396,Azure,Azure-RES-0396,West Europe,Configuration,ISO 27001,Medium,Compliant,Network,313,Not Required,,,,2,0,0,0,5.0
FND-0397,AWS,AWS-RES-0397,eu-west-2,Identity & Access,ISO 27001,Critical,Compliant,Network,233,Not Required,1.0,,,4,0,1,0,6.59
FND-0398,Azure,Azure-RES-0398,West Europe,Network Security,NIST,Low,Compliant,Cloud Ops,326,Not Required,,0.0,,1,0,0,0,4.0
FND-0399,AWS,AWS-RES-0399,eu-west-2,Network Security,ISO 27001,High,Compliant,Platform,118,Not Required,,0.0,,3,0,1,0,4.31
FND-0400,Azure,Azure-RES-0400,West Europe,Data Protection,CIS,Medium,Compliant,IAM,16,Not Required,,,1.0,2,0,0,0,2.18
FND-0401,AWS,AWS-RES-0401,eu-west-2,Identity & Access,NIST,Medium,Non-Compliant,IAM,214,In Progress,1.0,,,2,1,0,1,6.38
FND-0402,Azure,Azure-RES-0402,West Europe,Data Protection,ISO 27001,Medium,Compliant,Cloud Ops,325,Not Required,,,0.0,2,0,0,0,5.0
FND-0403,AWS,AWS-RES-0403,us-east-1,Network Security,CIS,Low,Compliant,IAM,43,Not Required,,0.0,,1,0,0,0,1.48
FND-0404,AWS,AWS-RES-0404,us-east-1,Logging & Monitoring,NIST,Medium,Exception,Network,252,Open,,,,2,0,0,1,4.8
FND-0405,Azure,Azure-RES-0405,West Europe,Identity & Access,ISO 27001,High,Compliant,IAM,264,Not Required,0.0,,,3,0,1,0,5.93
FND-0406,Azure,Azure-RES-0406,UK South,Identity & Access,CIS,Low,Compliant,Network,252,Not Required,1.0,,,1,0,0,0,3.8
FND-0407,AWS,AWS-RES-0407,us-east-1,Logging & Monitoring,ISO 27001,High,Non-Compliant,Cloud Ops,133,In Progress,,,,3,1,1,1,7.48
FND-0408,Azure,Azure-RES-0408,East US,Backup & Recovery,CIS,Medium,Compliant,IAM,137,Not Required,,,,2,0,0,0,3.52
FND-0409,Azure,Azure-RES-0409,West Europe,Identity & Access,ISO 27001,Low,Compliant,Network,71,Not Required,1.0,,,1,0,0,0,1.79
FND-0410,Azure,Azure-RES-0410,West Europe,Logging & Monitoring,CIS,Medium,Compliant,Cloud Ops,224,Not Required,,,,2,0,0,0,4.49
FND-0411,Azure,Azure-RES-0411,UK South,Identity & Access,ISO 27001,Critical,Compliant,Cloud Ops,97,Not Required,1.0,,,4,0,1,0,5.08
FND-0412,AWS,AWS-RES-0412,eu-west-1,Data Protection,NIST,Low,Compliant,IAM,286,Not Required,,,1.0,1,0,0,0,4.0
FND-0413,AWS,AWS-RES-0413,eu-west-1,Network Security,CIS,High,Non-Compliant,Network,248,In Progress,,1.0,,3,1,1,1,8.76
FND-0414,Azure,Azure-RES-0414,East US,Identity & Access,CIS,High,Non-Compliant,IAM,104,In Progress,1.0,,,3,1,1,1,7.16
FND-0415,AWS,AWS-RES-0415,us-east-1,Identity & Access,CIS,Medium,Compliant,IAM,269,Not Required,0.0,,,2,0,0,0,4.99
FND-0416,Azure,Azure-RES-0416,UK South,Configuration,ISO 27001,Medium,Compliant,Security,299,Not Required,,,,2,0,0,0,5.0
FND-0417,AWS,AWS-RES-0417,eu-west-1,Identity & Access,CIS,High,Compliant,IAM,231,Not Required,1.0,,,3,0,1,0,5.57
FND-0418,AWS,AWS-RES-0418,eu-west-1,Logging & Monitoring,CIS,Medium,Non-Compliant,Platform,48,In Progress,,,,2,1,0,1,4.53
FND-0419,Azure,Azure-RES-0419,West Europe,Identity & Access,CIS,Low,Non-Compliant,IAM,75,Remediated,1.0,,,1,1,0,0,2.83
FND-0420,Azure,Azure-RES-0420,East US,Identity & Access,CIS,Medium,Non-Compliant,Network,288,In Progress,1.0,,,2,1,0,1,7.0
